term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;fr_FR;fr_FR_description
Goals aligned with this goal;;no;yes;no;;Goals aligned with this goal;;Objectifs alignés sur cet objectif;
Grade;;no;yes;no;;Grade;;Echelon;
Grant date;;no;yes;no;;Grant date;;Date d'octroi;
Grant proxy access;;no;yes;no;;Grant proxy access;;Accorder un accès par procuration;
Grants;;no;yes;no;;Grants;;Octrois;
Greater than;;no;yes;no;;Greater than;;Supérieur à;
Greater than or equal to;;no;yes;no;;Greater than or equal to;;Supérieur ou égal à;
Group name;;no;yes;no;;Group name;;Nom du groupe;
Groups;;no;yes;no;;Groups;;Groupes;
Guaranteed amount;;no;yes;no;;Guaranteed amount;;Montant garanti;
Guaranteed amount rule;;no;yes;no;;Guaranteed amount rule;;Règle de montant garanti;
Guaranteed amounts;;no;yes;no;;Guaranteed amounts;;Montants garantis;
Guideline;;no;yes;no;;Guideline;;Recommandation;
Guidelines;;no;yes;no;;Guidelines;;Recommandations;
HRBP approval;;no;yes;no;;HRBP approval;;Approbation HRBP;
HRBP review;;no;yes;no;;HRBP review;;Revue HRBP;
Help;;no;yes;no;;Help;;Aide;
Help tip;;no;yes;no;;Help tip;;Infobulle;
Helpful;;no;yes;no;;Helpful;;Utile;
Hide;;no;yes;no;;Hide;;Masquer;
Hierarchy;;no;yes;no;;Hierarchy;;Hiérarchie;
High;;no;yes;no;;High;;Haute;
Historical Reviews;;no;yes;no;;Historical Reviews;;Bilans passés;
Historical compensation;;no;yes;no;;Historical compensation;;Rémunération historique;
Home;;no;yes;no;;Home;;Accueil;
Identifier;;no;yes;no;;Identifier;;Identifiant;
Import;;no;yes;no;;Import;;Importer;
In progress;;no;yes;no;;In progress;;En cours;
In use;;no;yes;no;;In use;;Utilisée;
Include;;no;yes;no;;Include;;Inclure;
Included;;no;yes;no;;Included;;Inclus;
Individual;;no;yes;no;;Individual;;Individuel;
Individual goal;;no;yes;no;;Individual goal;;Objectif individuel;
Individual goals;;no;yes;no;;Individual goals;;Objectifs individuels;
Individual view;;no;yes;no;;Individual view;;Vue individuelle;
Individual workers;;no;yes;no;;Individual workers;;Employé(e)s individuels;
Individuals;;no;yes;no;;Individuals;;Personnes;
Input;;no;yes;no;;Input;;Saisie;
Insightful;;no;yes;no;;Insightful;;Pertinent;
Insights;;no;yes;no;;Insights;;Opinions;
Inspiring;;no;yes;no;;Inspiring;;Exaltant;
Instant messaging address;;no;yes;no;;Instant messaging address;;Adresse de messagerie instantanée;
Integer;;no;yes;no;;Integer;;Entier;
Is PII;;no;yes;no;;Is PII;;PII;
Is completed;;no;yes;no;;Is completed;;Est terminé;
Is enabled;;no;yes;no;;Is enabled;;Est activé;
Is read;;no;yes;no;;Is read;;Est lu;
Is required;;no;yes;no;;Is required;;Comportement du champ;
Job code;;no;yes;no;;Job code;;Code emploi;
Job level;;no;yes;no;;Job level;;Niveau de poste;
Job title;;no;yes;no;;Job title;;Intitulé de poste;
Key dates;;no;yes;no;;Key dates;;Dates clés;
Key deliverables;;no;yes;no;;Key deliverables;;Livrables clés;
Label;;no;yes;no;;Label;;Libellé;
Language;;no;yes;no;;Language;;Langue;
Language code;;no;yes;no;;Language code;;Code de langue;
Languages;;no;yes;no;;Languages;;Langues;
Last edited;;no;yes;no;;Last edited;;Dernière modification;
Last update;;no;yes;no;;Last update;;Dernière mise à jour;
Last updated;;no;yes;no;;Last updated;;Dernière mise à jour;
Learning;;no;yes;no;;Learning;;Apprentissage;
Leave of absence;;no;yes;no;;Leave of absence;;Congé;
Legal Entity;;no;yes;no;;Legal Entity;;Entité légale;
Legal entity;;no;yes;no;;Legal entity;;Entité légale;
Less than;;no;yes;no;;Less than;;Inférieur à;
Less than or equal to;;no;yes;no;;Less than or equal to;;Inférieur ou égal à;
Let's meet;;no;yes;no;;Let's meet;;Rencontrons-nous;
Level;;no;yes;no;;Level;;Niveau;
Library details;;no;yes;no;;Library details;;Détails de la bibliothèque;
Library name;;no;yes;no;;Library name;;Nom de la bibliothèque;
Limit;;no;yes;no;;Limit;;Limite;
Line manager;;no;yes;no;;Line manager;;Manager direct;
Linear curve;;no;yes;no;;Linear curve;;Courbe linéaire;
Link;;no;yes;no;;Link;;Lien;
Local time;;no;yes;no;;Local time;;Heure locale;
Local worker category;;no;yes;no;;Local worker category;;Catégorie d'employé(e) locale;
Localization;;no;yes;no;;Localization;;Localisation;
Location;;no;yes;no;;Location;;Localisation;
Locations;;no;yes;no;;Locations;;Emplacements;
Logins;;no;yes;no;;Logins;;Connexions;
Logins over time;;no;yes;no;;Logins over time;;Connexions au fil du temps;
Logout;;no;yes;no;;Logout;;Déconnexion;
Low;;no;yes;no;;Low;;Basse;
Main;;no;yes;no;;Main;;Principal;
Main currency;;no;yes;no;;Main currency;;Devise principale;
Main group;;no;yes;no;;Main group;;Groupe principal;
Male;;no;yes;no;;Male;;Homme;
Manage;;no;yes;no;;Manage;;Gérer;
Manage users;;no;yes;no;;Manage users;;Gérer les utilisateurs;
Manager;;no;yes;no;;Manager;;Responsable;
Manager ID;;no;yes;no;;Manager ID;;ID du manager;
Manager feedback;;no;yes;no;;Manager feedback;;Feedback du manager;
Manager name;;no;yes;no;;Manager name;;Nom du manager;
Manager proposal;;no;yes;no;;Manager proposal;;Proposition du manager;
Manager review;;no;yes;no;;Manager review;;Bilan manager;
Mandatory;;no;yes;no;;Mandatory;;Obligatoire;
Manually;;no;yes;no;;Manually;;Manuellement;
Mapping configuration;;no;yes;no;;Mapping configuration;;Configuration du mapping;
Max target;;no;yes;no;;Max target;;Cible maximale;
Max. score;;no;yes;no;;Max. score;;Score max.;
Maximum outcome;;no;yes;no;;Maximum outcome;;Résultat maximal;
Maximum payout;;no;yes;no;;Maximum payout;;Paiement maximum;
Measurement;;no;yes;no;;Measurement;;Mesure;
Measurement criteria;;no;yes;no;;Measurement criteria;;Critères de mesure;
Medium;;no;yes;no;;Medium;;Moyenne;
Min target;;no;yes;no;;Min target;;Nombre minimal d'objectifs;
Minimum outcome;;no;yes;no;;Minimum outcome;;Résultat minimal;
Model;;no;yes;no;;Model;;Modèle;
Model description;;no;yes;no;;Model description;;Description du modèle;
Model details;;no;yes;no;;Model details;;Détails du modèle;
Model features;;no;yes;no;;Model features;;Fonctionnalités du modèle;
Model name;;no;yes;no;;Model name;;Nom du modèle;
Model type;;no;yes;no;;Model type;;Type de modèle;
Models;;no;yes;no;;Models;;Modèles;
Moderation;;no;yes;no;;Moderation;;Modération;
Moderation stage;;no;yes;no;;Moderation stage;;Etape de modération;
Month;;no;yes;no;;Month;;Mois;
Months;;no;yes;no;;Months;;Mois;
More;;no;yes;no;;More;;Plus;
More details;;no;yes;no;;More details;;Plus de détails;
Move reviews;;no;yes;no;;Move reviews;;Déplacer les bilans;
My behavior profile;;no;yes;no;;My behavior profile;;Mon profil comportemental;
My feedback;;no;yes;no;;My feedback;;Mon feedback;
My goal;;no;yes;no;;My goal;;Mon objectif;
My goals;;no;yes;no;;My goals;;Mes objectifs;
My note;;no;yes;no;;My note;;Ma note;
My review;;no;yes;no;;My review;;Mon bilan;
My reviews;;no;yes;no;;My reviews;;Mes bilans;
Name;;no;yes;no;;Name;;Nom;
New manager;;no;yes;no;;New manager;;Nouveau manager;
New password;;no;yes;no;;New password;;Nouveau mot de passe;
Next;;no;yes;no;;Next;;Suivant;
Next step;;no;yes;no;;Next step;;Etape suivante;
Nickname;;no;yes;no;;Nickname;;Surnom;
No career development plans;;no;yes;no;;No career development plans;;Aucun plan de développement de carrière;
No check-ins;;no;yes;no;;No check-ins;;Aucun check-in;
No comments yet;;no;yes;no;;No comments yet;;Aucun commentaire pour le moment;
No compensation rounds;;no;yes;no;;No compensation rounds;;Aucun cycle de rémunération;
No data;;no;yes;no;;No data;;Aucune donnée;
No description;;no;yes;no;;No description;;Aucune description;
No documents;;no;yes;no;;No documents;;Aucun document;
No feedback;;no;yes;no;;No feedback;;Aucun feedback;
No goals;;no;yes;no;;No goals;;Aucun objectif;
No goals yet;;no;yes;no;;No goals yet;;Aucun objectif pour l'instant;
No messages yet;;no;yes;no;;No messages yet;;Aucun message;
No notes;;no;yes;no;;No notes;;Aucune note;
No populations;;no;yes;no;;No populations;;Aucune population;
No populations yet;;no;yes;no;;No populations yet;;Aucune population pour le moment;
No priority;;no;yes;no;;No priority;;Aucune priorité;
No questions;;no;yes;no;;No questions;;Aucune question;
No results;;no;yes;no;;No results;;Aucun résultat;
No results found;;no;yes;no;;No results found;;Aucun résultat;
No value;;no;yes;no;;No value;;Aucune valeur;
Non-conditional;;no;yes;no;;Non-conditional;;Non conditionnel;
None;;no;yes;no;;None;;Aucun;
Not completed;;no;yes;no;;Not completed;;Non achevé;
Not empty;;no;yes;no;;Not empty;;Non vide;
Not released;;no;yes;no;;Not released;;Non mis à disposition;
Not selected;;no;yes;no;;Not selected;;Non sélectionné;
Not started;;no;yes;no;;Not started;;Non commencé;
Not submitted;;no;yes;no;;Not submitted;;Non soumis;
Notification bell;;no;yes;no;;Notification bell;;Cloche de notification;
Nudge;;no;yes;no;;Nudge;;Notification d'encouragement;
Number;;no;yes;no;;Number;;Nombre;
Number of days;;no;yes;no;;Number of days;;Nombre de jours;
Number of years;;no;yes;no;;Number of years;;Nombre d'années;
Numeric;;no;yes;no;;Numeric;;Numérique;
On track;;no;yes;no;;On track;;En bonne voie;
Open;;no;yes;no;;Open;;Ouvrir;
Operator;;no;yes;no;;Operator;;Opérateur;
Optional;;no;yes;no;;Optional;;Optionnel;
Organization;;no;yes;no;;Organization;;Organisation;
Organization external ID;;no;yes;no;;Organization external ID;;ID externe de l'organisation;
Organizational;;no;yes;no;;Organizational;;Organisationnel;
Organizational Units;;no;yes;no;;Organizational Units;;Unités organisationnelles;
Organizational goal;;no;yes;no;;Organizational goal;;Objectif organisationnel;
Organizational unit;;no;yes;no;;Organizational unit;;Unité organisationnelle;
Other;;no;yes;no;;Other;;Autre;
Outcome;;no;yes;no;;Outcome;;Résultat;
Outlook;;no;yes;no;;Outlook;;Perspectives;
Overall behavior rating;;no;yes;no;;Overall behavior rating;;Notation comportementale globale;
Overall performance;;no;yes;no;;Overall performance;;Performance globale;
Overall performance rating;;no;yes;no;;Overall performance rating;;Notation de performance globale;
Overall progress;;no;yes;no;;Overall progress;;Progression globale;
Overdue;;no;yes;no;;Overdue;;En retard;
Overview;;no;yes;no;;Overview;;Aperçu;
Owner;;no;yes;no;;Owner;;Titulaire;
Owners;;no;yes;no;;Owners;;Titulaires;
Passport;;no;yes;no;;Passport;;Passeport;
Password;;no;yes;no;;Password;;Mot de passe;
Past;;no;yes;no;;Past;;Passés;
Pay Analysis;;no;yes;no;;Pay Analysis;;Analyse de la rémunération;
Pay Information;;no;yes;no;;Pay Information;;Informations de rémunération;
Pay Intelligence;;no;yes;no;;Pay Intelligence;;Rémunération intelligente;
Pay Transparency;;no;yes;no;;Pay Transparency;;Rémunération transparente;
Pay analysis;;no;yes;no;;Pay analysis;;Analyse de rémunération;
Pay information;;no;yes;no;;Pay information;;Informations de rémunération;
Pay information requests;;no;yes;no;;Pay information requests;;Demandes d'informations sur la rémunération;
Pay range;;no;yes;no;;Pay range;;Échelle salariale;
Payout;;no;yes;no;;Payout;;Paiement;
Payout Curves;;no;yes;no;;Payout Curves;;Courbes de paiement;
Payout curve;;no;yes;no;;Payout curve;;Courbe de paiement;
Payout curves;;no;yes;no;;Payout curves;;Courbes de paiement;
Payroll;;no;yes;no;;Payroll;;Paie;
Payroll data drop;;no;yes;no;;Payroll data drop;;Dépôt de données de paie;
Peers;;no;yes;no;;Peers;;Pairs;
Pending;;no;yes;no;;Pending;;En attente;
Pending approval;;no;yes;no;;Pending approval;;En attente d'approbation;
Pending confirmation;;no;yes;no;;Pending confirmation;;En attente de confirmation;
Pending draft;;no;yes;no;;Pending draft;;Ebauche en attente;
Pending publishing;;no;yes;no;;Pending publishing;;En attente de publication;
Pending sign-off;;no;yes;no;;Pending sign-off;;En attente de validation;
People;;no;yes;no;;People;;Personnes;
People day;;no;yes;no;;People day;;Journée des collaborateurs;
Percentage;;no;yes;no;;Percentage;;Pourcentage;
Performance Management;;no;yes;no;;Performance Management;;Gestion de la performance;
Performance Reviews;;no;yes;no;;Performance Reviews;;Bilans de performance;
Performance check-ins;;no;yes;no;;Performance check-ins;;Check-ins de performance;
Performance rating;;no;yes;no;;Performance rating;;Evaluation de performance;
Performance review;;no;yes;no;;Performance review;;Bilan de performance;
Performance review details;;no;yes;no;;Performance review details;;Détails du bilan de performance;
Performance review templates;;no;yes;no;;Performance review templates;;Modèles de bilan de performance;
Period;;no;yes;no;;Period;;Période;
Period start date;;no;yes;no;;Period start date;;Date de début de période;
Personal;;no;yes;no;;Personal;;Personnel;
Personally identifiable information;;no;yes;no;;Personally identifiable information;;Informations personnelles identifiables;
Phone number;;no;yes;no;;Phone number;;Numéro de téléphone;
Plan details;;no;yes;no;;Plan details;;Détails du plan;
Plan name;;no;yes;no;;Plan name;;Nom du plan;
Plan stage;;no;yes;no;;Plan stage;;Étape de planification;
Plan transmission;;no;yes;no;;Plan transmission;;Transmission du plan;
Planner;;no;yes;no;;Planner;;Planificateur;
Population criteria;;no;yes;no;;Population criteria;;Critères de la population;
Position in pay range;;no;yes;no;;Position in pay range;;Position dans la fourchette salariale;
Preview;;no;yes;no;;Preview;;Aperçu;
Preview document;;no;yes;no;;Preview document;;Aperçu du document;
Previous;;no;yes;no;;Previous;;Précédente;
Priority;;no;yes;no;;Priority;;Priorité;
Privacy;;no;yes;no;;Privacy;;Confidentialité;
Privacy settings;;no;yes;no;;Privacy settings;;Paramètres de confidentialité;
Privacy statement text;;no;yes;no;;Privacy statement text;;Texte de la déclaration de confidentialité;
Private;;no;yes;no;;Private;;Privé;
Proceed;;no;yes;no;;Proceed;;Continuer;
Processing;;no;yes;no;;Processing;;Traitement;
Professional;;no;yes;no;;Professional;;Professionnel;
Progress;;no;yes;no;;Progress;;Progression;
Progress tracking;;no;yes;no;;Progress tracking;;Suivi de la progression;
Properties;;no;yes;no;;Properties;;Propriétés;
Proposal management;;no;yes;no;;Proposal management;;Gestion des propositions;
Prorated target bonus;;no;yes;no;;Prorated target bonus;;Prime cible au prorata;
Proxy;;no;yes;no;;Proxy;;Accès procuration;
Proxy access list;;no;yes;no;;Proxy access list;;Liste des accès par procuration;
Proxy permission;;no;yes;no;;Proxy permission;;Autorisation d'accès par procuration;
Public feedback;;no;yes;no;;Public feedback;;Feedback public;
Publish;;no;yes;no;;Publish;;Publier;
Published;;no;yes;no;;Published;;Publié;
Published date;;no;yes;no;;Published date;;Date de publication;
Publishing;;no;yes;no;;Publishing;;Publication en cours;
Purpose;;no;yes;no;;Purpose;;Objectif;
RTI request status;;no;yes;no;;RTI request status;;Statut des demandes RTI;
Range;;no;yes;no;;Range;;Plage;
Rate this feedback;;no;yes;no;;Rate this feedback;;Noter ce feedback;
Rating;;no;yes;no;;Rating;;Notation;
Rating changed;;no;yes;no;;Rating changed;;Notation modifiée;
Rating distribution;;no;yes;no;;Rating distribution;;Distribution des notations;
Rating scale;;no;yes;no;;Rating scale;;Echelle de notation;
Rating scales;;no;yes;no;;Rating scales;;Echelles de notation;
Read;;no;yes;no;;Read;;Lu;
Read only;;no;yes;no;;Read only;;Lecture seule;
Read status;;no;yes;no;;Read status;;Statut du document;
Read-only;;no;yes;no;;Read-only;;Lecture seule;
Ready;;no;yes;no;;Ready;;Prête;
Reassign;;no;yes;no;;Reassign;;Réassigner;
Reassign manager;;no;yes;no;;Reassign manager;;Réassigner le manager;
Reassigned;;no;yes;no;;Reassigned;;Réaffecté;
Received;;no;yes;no;;Received;;Reçus;
Received behaviors;;no;yes;no;;Received behaviors;;Comportements reçus;
Received feedback;;no;yes;no;;Received feedback;;Feedback reçu;
Recipient;;no;yes;no;;Recipient;;Destinataire;
Recipients;;no;yes;no;;Recipients;;Destinataires;
Recognition;;no;yes;no;;Recognition;;Reconnaissance;
Recognized behaviors;;no;yes;no;;Recognized behaviors;;Comportements reconnus;
Recommended;;no;yes;no;;Recommended;;Recommandé;
Recurrence;;no;yes;no;;Recurrence;;Récurrence;
Recurring;;no;yes;no;;Recurring;;Récurrent;
Reference;;no;yes;no;;Reference;;Référence;
Reference number;;no;yes;no;;Reference number;;Numéro de référence;
Refresh;;no;yes;no;;Refresh;;Rafraîchir;
Region;;no;yes;no;;Region;;Région;
Regular;;no;yes;no;;Regular;;Régulier;
Regular check-ins;;no;yes;no;;Regular check-ins;;Check-ins réguliers;
Reject;;no;yes;no;;Reject;;Rejeter;
Rejected;;no;yes;no;;Rejected;;Rejeté;
Release;;no;yes;no;;Release;;Mettre à disposition;
Release status;;no;yes;no;;Release status;;Statut de mise à disposition;
Released;;no;yes;no;;Released;;Mis à disposition;
Remaining;;no;yes;no;;Remaining;;Restant;
Reminder name;;no;yes;no;;Reminder name;;Nom du rappel;
Reminders;;no;yes;no;;Reminders;;Rappels;
Remove;;no;yes;no;;Remove;;Retirer;
Remove all;;no;yes;no;;Remove all;;Supprimer tout;
Rename;;no;yes;no;;Rename;;Renommer;
Reopen;;no;yes;no;;Reopen;;Rouvrir;
Reopen reviews;;no;yes;no;;Reopen reviews;;Rouvrir les bilans;
Reopened;;no;yes;no;;Reopened;;Rouvert;
Reply rate;;no;yes;no;;Reply rate;;Taux de réponse;
Republish;;no;yes;no;;Republish;;Republier;
Republished round;;no;yes;no;;Republished round;;Cycle republié;
Request;;no;yes;no;;Request;;Demander;
Request ID;;no;yes;no;;Request ID;;ID de demande;
Request date;;no;yes;no;;Request date;;Date de demande;
Request details;;no;yes;no;;Request details;;Détails de la demande;
Request feedback;;no;yes;no;;Request feedback;;Demander du feedback;
Request feedback from;;no;yes;no;;Request feedback from;;Demander du feedback à;
Request feedback now;;no;yes;no;;Request feedback now;;Demander du feedback maintenant;
Request feedback on;;no;yes;no;;Request feedback on;;Demander du feedback sur;
Request pay information;;no;yes;no;;Request pay information;;Demander des informations sur la rémunération;
Request status;;no;yes;no;;Request status;;Statut de la demande;
Requested;;no;yes;no;;Requested;;Demandé;
Requested feedback;;no;yes;no;;Requested feedback;;Feedback demandé;
Requests;;no;yes;no;;Requests;;Demandes;
Requests about my team;;no;yes;no;;Requests about my team;;Demandes concernant mon équipe;
Required;;no;yes;no;;Required;;Obligatoire;
Resources;;no;yes;no;;Resources;;Ressources;
Response permission;;no;yes;no;;Response permission;;Autorisation de réponse;
Resubmit;;no;yes;no;;Resubmit;;Soumettre de nouveau;
Result;;no;yes;no;;Result;;Résultat;
Review;;no;yes;no;;Review;;Bilan;
Review Details;;no;yes;no;;Review Details;;Détails du bilan;
Review Status;;no;yes;no;;Review Status;;Statut du bilan;
Review about;;no;yes;no;;Review about;;Bilan à propos de;
Review challenge;;no;yes;no;;Review challenge;;Défi du bilan;
Review name;;no;yes;no;;Review name;;Nom du bilan;
Review rating;;no;yes;no;;Review rating;;Notation du bilan;
Review rating distribution;;no;yes;no;;Review rating distribution;;Distribution des notations des bilans;
Review settings;;no;yes;no;;Review settings;;Paramètres du bilan;
Review stage;;no;yes;no;;Review stage;;Etape du bilan;
Review stages;;no;yes;no;;Review stages;;Étapes du bilan;
Review status;;no;yes;no;;Review status;;Statut du bilan;
Review type;;no;yes;no;;Review type;;Type de bilan;
Reviews;;no;yes;no;;Reviews;;Bilans;
Role;;no;yes;no;;Role;;Rôle;
Roles;;no;yes;no;;Roles;;Rôles;
Round;;no;yes;no;;Round;;Cycle;
Round code;;no;yes;no;;Round code;;Code du cycle;
Round details;;no;yes;no;;Round details;;Détails du cycle;
Round reminders;;no;yes;no;;Round reminders;;Rappels de cycle;
Round republished;;no;yes;no;;Round republished;;Cycle republié;
Round type;;no;yes;no;;Round type;;Type de cycle;
Round visibility;;no;yes;no;;Round visibility;;Visibilité du cycle;
Rule configuration;;no;yes;no;;Rule configuration;;Configuration de la règle;
Rule details;;no;yes;no;;Rule details;;Détails de la règle;
Rule name;;no;yes;no;;Rule name;;Nom de la règle;
Rules;;no;yes;no;;Rules;;Règles;
Salary;;no;yes;no;;Salary;;Salaire;
Salary configuration;;no;yes;no;;Salary configuration;;Configuration du salaire;
Save;;no;yes;no;;Save;;Enregistrer;
Save & exit;;no;yes;no;;Save & exit;;Enregistrer & quitter;
Scale;;no;yes;no;;Scale;;Échelle;
Search;;no;yes;no;;Search;;Rechercher;
Search by name;;no;yes;no;;Search by name;;Rechercher par nom;
Search by name or code;;no;yes;no;;Search by name or code;;Rechercher par nom ou par code;
Search for a person;;no;yes;no;;Search for a person;;Rechercher une personne;
Search for a worker;;no;yes;no;;Search for a worker;;Rechercher un(e) employé(e);
Search for workers;;no;yes;no;;Search for workers;;Rechercher des employé(e)s;
Secondary email;;no;yes;no;;Secondary email;;Email secondaire;
Secondary email address;;no;yes;no;;Secondary email address;;Adresse email secondaire;
Secondary hierarchy;;no;yes;no;;Secondary hierarchy;;Hiérarchie secondaire;
Section header;;no;yes;no;;Section header;;En-tête de section;
Security;;no;yes;no;;Security;;Sécurité;
Security group;;no;yes;no;;Security group;;Groupe de sécurité;
See all;;no;yes;no;;See all;;Voir tout;
Select;;no;yes;no;;Select;;Sélectionner;
Select all;;no;yes;no;;Select all;;Sélectionner tout;
Select an option;;no;yes;no;;Select an option;;Sélectionnez une option;
Select communication round;;no;yes;no;;Select communication round;;Sélectionner le cycle de communication;
Select data model;;no;yes;no;;Select data model;;Sélectionner le modèle de données;
Select entity;;no;yes;no;;Select entity;;Sélectionner une entité;
Select filters;;no;yes;no;;Select filters;;Sélectionner des filtres;
Select goal;;no;yes;no;;Select goal;;Sélectionnez un objectif;
Select owners;;no;yes;no;;Select owners;;Sélectionner des titulaires;
Select population;;no;yes;no;;Select population;;Sélectionner la population;
Select the compensation element;;no;yes;no;;Select the compensation element;;Sélectionnez l'élément de rémunération;
Select type;;no;yes;no;;Select type;;Sélectionnez le type;
Selected;;no;yes;no;;Selected;;Sélectionné;
Selected column;;no;yes;no;;Selected column;;Colonne sélectionnée;
Selected fields;;no;yes;no;;Selected fields;;Champs sélectionnés;
Selected items;;no;yes;no;;Selected items;;Éléments sélectionnés;
Selected population;;no;yes;no;;Selected population;;Population sélectionnée;
Self;;no;yes;no;;Self;;Moi;
Self-assessment;;no;yes;no;;Self-assessment;;Auto-évaluation;
Self-review;;no;yes;no;;Self-review;;Bilan individuel;
Send;;no;yes;no;;Send;;Envoyer;
Send feedback;;no;yes;no;;Send feedback;;Envoyer le feedback;
Send to Documents;;no;yes;no;;Send to Documents;;Envoyer vers Documents;
Sender;;no;yes;no;;Sender;;Expéditeur;
Sensitive Content;;no;yes;no;;Sensitive Content;;Contenu sensible;
Sent;;no;yes;no;;Sent;;Envoyé;
Sent behaviors;;no;yes;no;;Sent behaviors;;Comportements envoyés;
Sent feedback;;no;yes;no;;Sent feedback;;Feedback envoyé;
Sent to;;no;yes;no;;Sent to;;Envoyé à;
Separator;;no;yes;no;;Separator;;Séparateur;
Session timeout;;no;yes;no;;Session timeout;;Délai d'expiration de la session;
Settings;;no;yes;no;;Settings;;Paramètres;
Setup;;no;yes;no;;Setup;;Configuration;
Share;;no;yes;no;;Share;;Partager;
Share feedback;;no;yes;no;;Share feedback;;Partager le feedback;
Share this feedback;;no;yes;no;;Share this feedback;;Partager ce feedback;
Share with;;no;yes;no;;Share with;;Partager avec;
Share your insights;;no;yes;no;;Share your insights;;Partagez vos opinions;
Share your thoughts;;no;yes;no;;Share your thoughts;;Partagez vos réflexions;
Shared;;no;yes;no;;Shared;;Partagé;
Shared feedback;;no;yes;no;;Shared feedback;;Feedback partagé;
Shared goals;;no;yes;no;;Shared goals;;Objectifs partagés;
Shared with;;no;yes;no;;Shared with;;Partagé avec;
Shared with me;;no;yes;no;;Shared with me;;Partagés avec moi;
Sharing;;no;yes;no;;Sharing;;Partage;
Short;;no;yes;no;;Short;;Etroite;
Show;;no;yes;no;;Show;;Afficher;
Show all;;no;yes;no;;Show all;;Afficher tout;
Since request;;no;yes;no;;Since request;;Depuis la demande;
Skill & Competency Groups;;no;yes;no;;Skill & Competency Groups;;Groupes de compétences & d'aptitudes;
Skill & competency groups;;no;yes;no;;Skill & competency groups;;Groupes de compétences & d'aptitudes;
Skills;;no;yes;no;;Skills;;Compétences;
Skills & competency groups;;no;yes;no;;Skills & competency groups;;Groupes de compétences & d'aptitudes;
Snapshot;;no;yes;no;;Snapshot;;Image figée;
Snapshot Manager;;no;yes;no;;Snapshot Manager;;Manager d'instantané;
Snapshot details;;no;yes;no;;Snapshot details;;Détails de l'instantané;
Snapshots;;no;yes;no;;Snapshots;;Images figées;
Stage;;no;yes;no;;Stage;;Etape;
Start;;no;yes;no;;Start;;Démarrer;
Start date;;no;yes;no;;Start date;;Date de début;
Start date in company;;no;yes;no;;Start date in company;;Date d'entrée dans l'entreprise;
Start time;;no;yes;no;;Start time;;Heure de début;
State;;no;yes;no;;State;;État;
Statement generation;;no;yes;no;;Statement generation;;Génération de relevé;
Statements;;no;yes;no;;Statements;;Déclarations;
Status;;no;yes;no;;Status;;Statut;
Status by org. level;;no;yes;no;;Status by org. level;;Statut par niveau org.;
Step curve;;no;yes;no;;Step curve;;Courbe en escalier;
Step end date;;no;yes;no;;Step end date;;Date de fin de l'étape;
Stock;;no;yes;no;;Stock;;Actions;
Street address;;no;yes;no;;Street address;;Adresse postale;
Subgroups;;no;yes;no;;Subgroups;;Sous-groupes;
Subject;;no;yes;no;;Subject;;Objet;
Submit;;no;yes;no;;Submit;;Soumettre;
Submit to manager;;no;yes;no;;Submit to manager;;Soumettre au manager;
Submitted;;no;yes;no;;Submitted;;Soumission;
Success;;no;yes;no;;Success;;Réussie;
Suggested agenda;;no;yes;no;;Suggested agenda;;Ordre du jour suggéré;
Sum;;no;yes;no;;Sum;;Somme;
Summary;;no;yes;no;;Summary;;Résumé;
System;;no;yes;no;;System;;Système;
System populations;;no;yes;no;;System populations;;Populations du système;
Tag;;no;yes;no;;Tag;;Etiquette;
Tag library;;no;yes;no;;Tag library;;Bibliothèque d'étiquettes;
Tags;;no;yes;no;;Tags;;Etiquettes;
Talent Review;;no;yes;no;;Talent Review;;Bilan des talents;
Target;;no;yes;no;;Target;;Cible;
Target bonus;;no;yes;no;;Target bonus;;Bonus cible;
Target budget;;no;yes;no;;Target budget;;Budget cible;
Team;;no;yes;no;;Team;;Equipe;
Team planner view;;no;yes;no;;Team planner view;;Vue planificateur d'équipe;
Team requests;;no;yes;no;;Team requests;;Demandes d'équipe;
Template;;no;yes;no;;Template;;Modèle;
Template document;;no;yes;no;;Template document;;Document modèle;
Template widget settings;;no;yes;no;;Template widget settings;;Paramètres des widgets du modèle;
Templates;;no;yes;no;;Templates;;Modèles;
Text;;no;yes;no;;Text;;Texte;
Text field;;no;yes;no;;Text field;;Champ de texte;
Thanks;;no;yes;no;;Thanks;;Merci;
Then;;no;yes;no;;Then;;Avant;
Time in role;;no;yes;no;;Time in role;;Temps dans le poste;
Time zone;;no;yes;no;;Time zone;;Fuseau horaire;
Timeline;;no;yes;no;;Timeline;;Chronologie;
Title;;no;yes;no;;Title;;Titre;
Today;;no;yes;no;;Today;;Aujourd'hui;
Toggle;;no;yes;no;;Toggle;;Basculer;
Total behaviors;;no;yes;no;;Total behaviors;;Total des comportements;
Total compensation;;no;yes;no;;Total compensation;;Compensation totale;
Total entities;;no;yes;no;;Total entities;;Total des entités;
Total goals;;no;yes;no;;Total goals;;Total des objectifs;
Total reviews;;no;yes;no;;Total reviews;;Total des bilans;
Total score;;no;yes;no;;Total score;;Score total;
Total workers;;no;yes;no;;Total workers;;Total des employé(e)s;
Tracking;;no;yes;no;;Tracking;;Suivi;
Tracking status;;no;yes;no;;Tracking status;;Suivi de progression;
