term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;fr_FR;fr_FR_description
Canceled;;no;yes;no;;Canceled;;Annulé;
Career Development;;no;yes;no;;Career Development;;Développement de carrière;
Career Development Plans;;no;yes;no;;Career Development Plans;;Plans de développement de carrière;
Career Development Settings;;no;yes;no;;Career Development Settings;;Paramètres de développement de carrière;
Career development;;no;yes;no;;Career development;;Développement de carrière;
Career development plan;;no;yes;no;;Career development plan;;Plan de développement de carrière;
Career development plans;;no;yes;no;;Career development plans;;Plans de développement de carrière;
Career development settings;;no;yes;no;;Career development settings;;Paramètres de développement de carrière;
Career plan questionnaire;;no;yes;no;;Career plan questionnaire;;Questionnaire sur le plan de carrière;
Career plans;;no;yes;no;;Career plans;;Plans de carrière;
Categories;;no;yes;no;;Categories;;Catégories;
Category;;no;yes;no;;Category;;Catégorie;
Challenge process;;no;yes;no;;Challenge process;;Processus de contestation;
Challenge review;;no;yes;no;;Challenge review;;Contestation du bilan;
Challenged;;no;yes;no;;Challenged;;Contesté;
Change;;no;yes;no;;Change;;Modifier;
Change workflow step;;no;yes;no;;Change workflow step;;Modifier l'étape du workflow;
Check-in Details;;no;yes;no;;Check-in Details;;Détails du check-in;
Check-in Status;;no;yes;no;;Check-in Status;;Statut des check-ins;
Check-in date;;no;yes;no;;Check-in date;;Date du check-in;
Check-in with;;no;yes;no;;Check-in with;;Check-in avec;
Check-ins created;;no;yes;no;;Check-ins created;;Check-ins créés;
Choose one;;no;yes;no;;Choose one;;Choisissez-en un;
City;;no;yes;no;;City;;Ville;
Clear;;no;yes;no;;Clear;;Effacer;
Clear all;;no;yes;no;;Clear all;;Effacer tout;
Clear all filters;;no;yes;no;;Clear all filters;;Effacer tous les filtres;
Clear all filters & search;;no;yes;no;;Clear all filters & search;;Effacer tous les filtres & rechercher;
Clear all filters and search;;no;yes;no;;Clear all filters and search;;Effacer tous les filtres et rechercher;
Clear filters;;no;yes;no;;Clear filters;;Effacer les filtres;
Clear search;;no;yes;no;;Clear search;;Effacer la recherche;
Close;;no;yes;no;;Close;;Fermer;
Closed;;no;yes;no;;Closed;;Clôturé;
Closed without document;;no;yes;no;;Closed without document;;Clôturé sans document;
Collaborative;;no;yes;no;;Collaborative;;Collaboratif;
Collapse;;no;yes;no;;Collapse;;Réduire;
Color;;no;yes;no;;Color;;Couleur;
Column name;;no;yes;no;;Column name;;Nom de la colonne;
Columns;;no;yes;no;;Columns;;Colonnes;
Coming soon;;no;yes;no;;Coming soon;;Bientôt disponible;
Comm manager;;no;yes;no;;Comm manager;;Manager de communication;
Comm round;;no;yes;no;;Comm round;;Cycle de communication;
Comment;;no;yes;no;;Comment;;Commentaire;
Comments;;no;yes;no;;Comments;;Commentaires;
Communication Rounds;;no;yes;no;;Communication Rounds;;Cycles de communication;
Communication manager;;no;yes;no;;Communication manager;;Responsable de la communication;
Communication manager name;;no;yes;no;;Communication manager name;;Nom du responsable de communication;
Communication round;;no;yes;no;;Communication round;;Cycle de communication;
Communication rounds;;no;yes;no;;Communication rounds;;Cycles de communication;
Comp Rounds;;no;yes;no;;Comp Rounds;;Rondes de rémunération;
Comp element;;no;yes;no;;Comp element;;Élément de rémunération;
Comp elements;;no;yes;no;;Comp elements;;Eléments de rémunération;
Comp manager;;no;yes;no;;Comp manager;;Manager comp;
Comp managers;;no;yes;no;;Comp managers;;Managers Comp;
Comp round;;no;yes;no;;Comp round;;Cycle de rémunération;
Comp round currency;;no;yes;no;;Comp round currency;;Devise du cycle de rémunération;
Comp rounds;;no;yes;no;;Comp rounds;;Cycles de rémunération;
Comp tree;;no;yes;no;;Comp tree;;Arbre de rémunération;
Company;;no;yes;no;;Company;;Entreprise;
Company logo;;no;yes;no;;Company logo;;Logo de l'entreprise;
Company name;;no;yes;no;;Company name;;Nom de l'entreprise;
Compare;;no;yes;no;;Compare;;Comparaison;
Compensation;;no;yes;no;;Compensation;;Rémunération;
Compensation Element;;no;yes;no;;Compensation Element;;Élément de rémunération;
Compensation History;;no;yes;no;;Compensation History;;Historique de rémunération;
Compensation Management;;no;yes;no;;Compensation Management;;Gestion de la rémunération;
Compensation Rounds;;no;yes;no;;Compensation Rounds;;Cycles de rémunération;
Compensation element;;no;yes;no;;Compensation element;;Elément de rémunération;
Compensation elements;;no;yes;no;;Compensation elements;;Éléments de rémunération;
Compensation field;;no;yes;no;;Compensation field;;Champ de rémunération;
Compensation framework;;no;yes;no;;Compensation framework;;Système de rémunération;
Compensation history;;no;yes;no;;Compensation history;;Historique de rémunération;
Compensation manager;;no;yes;no;;Compensation manager;;Manager de rémunération;
Compensation philosophy;;no;yes;no;;Compensation philosophy;;Philosophie de rémunération;
Compensation rounds;;no;yes;no;;Compensation rounds;;Cycles de compensation;
Competency Scales;;no;yes;no;;Competency Scales;;Échelles d'aptitudes;
Competency scale;;no;yes;no;;Competency scale;;Échelle d'aptitudes;
Complete;;no;yes;no;;Complete;;Terminer;
Completed;;no;yes;no;;Completed;;Terminé;
Completion;;no;yes;no;;Completion;;Achèvement;
Completion rate;;no;yes;no;;Completion rate;;Taux de complétion;
Concatenated fields;;no;yes;no;;Concatenated fields;;Champs concaténés;
Conditional;;no;yes;no;;Conditional;;Conditionnel;
Conditional formatting;;no;yes;no;;Conditional formatting;;Mise en forme conditionnelle;
Configurations;;no;yes;no;;Configurations;;Configuration;
Confirm;;no;yes;no;;Confirm;;Confirmer;
Confirm deletion;;no;yes;no;;Confirm deletion;;Confirmer la suppression;
Connection name;;no;yes;no;;Connection name;;Nom de la connexion;
Constructive;;no;yes;no;;Constructive;;Constructif;
Contains;;no;yes;no;;Contains;;Contient;
Continue;;no;yes;no;;Continue;;Continuer;
Continue editing;;no;yes;no;;Continue editing;;Continuer les modifications;
Contract type;;no;yes;no;;Contract type;;Type de contrat;
Copy;;no;yes;no;;Copy;;Copier;
Cost Center;;no;yes;no;;Cost Center;;Centre de coûts;
Cost center;;no;yes;no;;Cost center;;Centre de coûts;
Count;;no;yes;no;;Count;;Nombre;
Country;;no;yes;no;;Country;;Pays;
Create;;no;yes;no;;Create;;Créer;
Create check-in;;no;yes;no;;Create check-in;;Créer un check-in;
Create communication round;;no;yes;no;;Create communication round;;Créer un cycle de communication;
Create document;;no;yes;no;;Create document;;Créer un document;
Create goal;;no;yes;no;;Create goal;;Créer un objectif;
Create goal plan;;no;yes;no;;Create goal plan;;Créer un plan d'objectif;
Create goal type;;no;yes;no;;Create goal type;;Créer un type d'objectif;
Create model;;no;yes;no;;Create model;;Créer un modèle;
Create performance review;;no;yes;no;;Create performance review;;Créer un bilan de performance;
Create rule;;no;yes;no;;Create rule;;Créer une règle;
Created;;no;yes;no;;Created;;Créé;
Created by;;no;yes;no;;Created by;;Créée par;
Created date;;no;yes;no;;Created date;;Date de création;
Created on;;no;yes;no;;Created on;;Créée le;
Creation date;;no;yes;no;;Creation date;;Date de création;
Creator;;no;yes;no;;Creator;;Créateur/créatrice;
Criteria;;no;yes;no;;Criteria;;Critères;
Criteria blocks;;no;yes;no;;Criteria blocks;;Blocs de critères;
Criterion;;no;yes;no;;Criterion;;Critère;
Currency;;no;yes;no;;Currency;;Devise;
Currency Settings;;no;yes;no;;Currency Settings;;Paramètres de devise;
Currency field;;no;yes;no;;Currency field;;Champ devise;
Currency source;;no;yes;no;;Currency source;;Source de la devise;
Current;;no;yes;no;;Current;;Actuel;
Current manager;;no;yes;no;;Current manager;;Manager actuel;
Custom;;no;yes;no;;Custom;;Personnalisé;
Custom Entities;;no;yes;no;;Custom Entities;;Entités personnalisées;
Custom Fields;;no;yes;no;;Custom Fields;;Champs personnalisés;
Custom column;;no;yes;no;;Custom column;;Colonne personnalisée;
Custom criteria;;no;yes;no;;Custom criteria;;Critères personnalisés;
Custom entities;;no;yes;no;;Custom entities;;Entités personnalisées;
Custom fields;;no;yes;no;;Custom fields;;Champs personnalisés;
Custom section;;no;yes;no;;Custom section;;Section personnalisée;
Custom widget;;no;yes;no;;Custom widget;;Widget personnalisé;
Data Entities & Sources;;no;yes;no;;Data Entities & Sources;;Entités & sources de données;
Data Foundation;;no;yes;no;;Data Foundation;;Fondation de données;
Data Management;;no;yes;no;;Data Management;;Gestion des données;
Data Modeler;;no;yes;no;;Data Modeler;;Modélisateur de données;
Data Privacy;;no;yes;no;;Data Privacy;;Confidentialité des données;
Data Retention;;no;yes;no;;Data Retention;;Conservation des données;
Data Upload;;no;yes;no;;Data Upload;;Importation de données;
Data entities & sources;;no;yes;no;;Data entities & sources;;Entités & sources de données;
Data foundation;;no;yes;no;;Data foundation;;Fondation de données;
Data management;;no;yes;no;;Data management;;Gestion des données;
Data model;;no;yes;no;;Data model;;Modèle de données;
Data privacy;;no;yes;no;;Data privacy;;Confidentialité des données;
Data privacy statement;;no;yes;no;;Data privacy statement;;Déclaration de confidentialité des données;
Data retention period;;no;yes;no;;Data retention period;;Période de conservation des données;
Data scope;;no;yes;no;;Data scope;;Portée des données;
Data source;;no;yes;no;;Data source;;Source de données;
Dataset;;no;yes;no;;Dataset;;Jeu de données;
Date & Time;;no;yes;no;;Date & Time;;Format de date;
Date & time;;no;yes;no;;Date & time;;Date & heure;
Date to;;no;yes;no;;Date to;;Date à;
Days;;no;yes;no;;Days;;Jours;
Deactivate;;no;yes;no;;Deactivate;;Désactiver;
Deactivated;;no;yes;no;;Deactivated;;Désactivée;
Deactivated user;;no;yes;no;;Deactivated user;;Utilisateur désactivé;
Deactivation;;no;yes;no;;Deactivation;;Désactivation;
